frozen_keys 0 {'step': 1, 'loss': 0.6970479488372803, 'bit_accuracy': 0.5390625, 'exact_accuracy': 0.015625, 'gradient_norm': 0.15258315205574036}
frozen_keys 2 {'step': 300, 'loss': 0.14788933098316193, 'bit_accuracy': 0.9453125, 'exact_accuracy': 0.671875, 'gradient_norm': 0.1526370644569397}
frozen_keys 2 {'step': 400, 'loss': 0.1721377670764923, 'bit_accuracy': 0.93359375, 'exact_accuracy': 0.625, 'gradient_norm': 0.18624082207679749}
frozen_keys 2 {'step': 500, 'loss': 0.1812158077955246, 'bit_accuracy': 0.94140625, 'exact_accuracy': 0.75, 'gradient_norm': 0.17796213924884796}
frozen_keys 2 {'step': 600, 'loss': 0.12294727563858032, 'bit_accuracy': 0.943359375, 'exact_accuracy': 0.71875, 'gradient_norm': 0.17250825464725494}
gru 0 {'step': 1, 'loss': 0.6933539509773254, 'bit_accuracy': 0.498046875, 'exact_accuracy': 0.03125, 'gradient_norm': 0.016676105558872223}
gru 0 {'step': 100, 'loss': 0.6648189425468445, 'bit_accuracy': 0.583984375, 'exact_accuracy': 0.0, 'gradient_norm': 0.10163238644599915}
gru 0 {'step': 200, 'loss': 0.6789605617523193, 'bit_accuracy': 0.595703125, 'exact_accuracy': 0.015625, 'gradient_norm': 0.14366109669208527}
gru 0 {'step': 300, 'loss': 0.539824366569519, 'bit_accuracy': 0.7578125, 'exact_accuracy': 0.1875, 'gradient_norm': 0.21263213455677032}
gru 0 {'step': 400, 'loss': 0.7090712785720825, 'bit_accuracy': 0.578125, 'exact_accuracy': 0.03125, 'gradient_norm': 0.20872144401073456}
gru 0 {'step': 500, 'loss': 0.6433054208755493, 'bit_accuracy': 0.625, 'exact_accuracy': 0.0625, 'gradient_norm': 0.13149762153625488}
gru 0 {'step': 600, 'loss': 0.46697908639907837, 'bit_accuracy': 0.818359375, 'exact_accuracy': 0.390625, 'gradient_norm': 0.23525524139404297}
gru 1 {'step': 1, 'loss': 0.6939033269882202, 'bit_accuracy': 0.46875, 'exact_accuracy': 0.0, 'gradient_norm': 0.011384265497326851}
gru 1 {'step': 100, 'loss': 0.6553657054901123, 'bit_accuracy': 0.609375, 'exact_accuracy': 0.015625, 'gradient_norm': 0.09226218611001968}
gru 1 {'step': 200, 'loss': 0.6577807068824768, 'bit_accuracy': 0.607421875, 'exact_accuracy': 0.046875, 'gradient_norm': 0.12407248467206955}
gru 1 {'step': 300, 'loss': 0.521878719329834, 'bit_accuracy': 0.75, 'exact_accuracy': 0.171875, 'gradient_norm': 0.21506571769714355}
gru 1 {'step': 400, 'loss': 0.6910532712936401, 'bit_accuracy': 0.556640625, 'exact_accuracy': 0.03125, 'gradient_norm': 0.16184623539447784}
gru 1 {'step': 500, 'loss': 0.6752697825431824, 'bit_accuracy': 0.5625, 'exact_accuracy': 0.03125, 'gradient_norm': 0.1483362466096878}
gru 1 {'step': 600, 'loss': 0.49668288230895996, 'bit_accuracy': 0.755859375, 'exact_accuracy': 0.15625, 'gradient_norm': 0.20095060765743256}
gru 2 {'step': 1, 'loss': 0.692655622959137, 'bit_accuracy': 0.533203125, 'exact_accuracy': 0.0, 'gradient_norm': 0.024873068556189537}
gru 2 {'step': 100, 'loss': 0.6718297004699707, 'bit_accuracy': 0.580078125, 'exact_accuracy': 0.03125, 'gradient_norm': 0.13683973252773285}
gru 2 {'step': 200, 'loss': 0.6650756597518921, 'bit_accuracy': 0.599609375, 'exact_accuracy': 0.015625, 'gradient_norm': 0.15265396237373352}
gru 2 {'step': 300, 'loss': 0.5303118228912354, 'bit_accuracy': 0.7578125, 'exact_accuracy': 0.1875, 'gradient_norm': 0.21584193408489227}
gru 2 {'step': 400, 'loss': 0.6735689043998718, 'bit_accuracy': 0.603515625, 'exact_accuracy': 0.03125, 'gradient_norm': 0.14741352200508118}
gru 2 {'step': 500, 'loss': 0.6523538827896118, 'bit_accuracy': 0.615234375, 'exact_accuracy': 0.015625, 'gradient_norm': 0.16301345825195312}
gru 2 {'step': 600, 'loss': 0.460855096578598, 'bit_accuracy': 0.8203125, 'exact_accuracy': 0.265625, 'gradient_norm': 0.2553625702857971}
